Frame num,cyy,yy(vert),xx (horiz),Intensity
3390,262,122,345,14
3389,262,122,345,15
3388,262,122,345,15
3387,262,122,345,30
3386,262,122,345,16
3385,262,122,346,34
3384,262,122,345,17
3383,262,122,346,31
3382,262,122,345,40
3381,262,122,346,31
3380,262,122,345,37
3379,262,122,345,38
3378,262,122,346,33
3377,262,122,345,40
3376,262,122,345,36
3375,262,122,345,35
3374,262,122,345,37
3373,262,122,345,38
3372,262,122,345,37
3371,262,122,345,21
3370,262,122,345,38
3369,262,122,345,38
3368,262,122,345,40
3367,262,122,345,38
3366,262,122,345,36
3365,262,122,345,18
3364,262,122,345,33
3363,262,122,345,20
3362,262,122,345,38
3361,262,122,345,16
3360,262,122,345,35
3359,262,122,345,35
3358,262,122,346,35
3357,262,122,345,33
3356,262,122,345,18
3355,262,122,345,16
3354,262,122,345,33
3353,262,122,345,46
3352,262,122,345,30
3351,262,122,345,35
3350,261,123,345,29
3349,262,122,345,14
3348,261,123,345,31
3347,261,123,345,30
3346,261,123,345,50
3345,261,123,345,48
3344,261,123,345,32
3343,261,123,345,18
3342,261,123,345,34
3341,261,123,345,38
3340,261,123,345,39
3339,261,123,345,38
3338,261,123,345,40
3337,261,123,345,39
3336,261,123,345,24
3335,261,123,345,41
3334,261,123,345,39
3333,261,123,345,40
3332,261,123,345,37
3331,261,123,345,43
3330,261,123,345,41
3329,261,123,345,39
3328,261,123,345,43
3327,261,123,345,42
3326,261,123,345,43
3325,261,123,345,39
3324,261,123,345,39
3323,261,123,345,17
3322,261,123,345,36
3321,261,123,345,40
3320,261,123,345,38
3319,261,123,345,55
3318,261,123,345,40
3317,261,123,345,49
3316,261,123,345,48
3315,261,123,345,34
3314,261,123,345,54
3313,261,123,345,20
3312,261,123,345,35
3311,261,123,345,31
3310,260,124,345,44
3309,260,124,345,34
3308,260,124,345,36
3307,261,123,345,31
3306,260,124,345,47
3305,260,124,345,51
3304,260,124,345,48
3303,260,124,345,36
3302,260,124,345,34
3301,260,124,345,49
3300,260,124,345,37
3299,260,124,345,37
3298,260,124,345,37
3297,260,124,345,38
3296,260,124,345,43
3295,260,124,345,44
3294,260,124,345,40
3293,260,124,345,41
3292,260,124,345,41
3291,260,124,345,44
3290,260,124,345,45
3289,260,124,345,42
3288,260,124,345,45
3287,260,124,345,43
3286,260,124,345,40
3285,260,124,345,44
3284,260,124,345,46
3283,260,124,345,41
3282,260,124,345,43
3281,260,124,345,41
3280,260,124,345,37
3279,260,124,345,45
3278,260,124,345,42
3277,260,124,345,41
3276,260,124,345,38
3275,260,124,345,57
3274,260,124,345,41
3273,260,124,345,42
3272,260,124,345,36
3271,260,124,345,52
3270,260,124,345,43
3269,260,124,345,41
3268,260,124,345,41
3267,260,124,345,42
3266,259,125,345,41
3265,259,125,345,45
3264,259,125,345,42
3263,259,125,345,43
3262,259,125,345,42
3261,259,125,345,41
3260,259,125,345,55
3259,259,125,345,55
3258,259,125,345,54
3257,259,125,345,61
3256,259,125,345,57
3255,259,125,345,57
3254,259,125,345,46
3253,259,125,345,43
3252,259,125,345,49
3251,259,125,345,43
3250,259,125,345,47
3249,259,125,345,49
3248,259,125,345,49
3247,259,125,345,46
3246,259,125,345,50
3245,259,125,345,49
3244,259,125,345,45
3243,259,125,345,46
3242,259,125,345,49
3241,259,125,345,47
3240,259,125,345,48
3239,259,125,345,49
3238,259,125,345,48
3237,259,125,345,45
3236,259,125,345,48
3235,259,125,345,41
3234,259,125,345,61
3233,259,125,345,30
3232,259,125,345,65
3231,259,125,345,45
3230,259,125,345,46
3229,259,125,345,43
3228,259,125,345,50
3227,259,125,345,60
3226,259,125,345,45
3225,258,126,345,45
3224,258,126,345,46
3223,258,126,345,46
3222,258,126,345,46
3221,258,126,345,47
3220,258,126,345,47
3219,258,126,345,63
3218,258,126,345,60
3217,258,126,345,61
3216,258,126,345,61
3215,258,126,345,30
3214,258,126,345,31
3213,258,126,345,32
3212,258,126,345,46
3211,258,126,345,47
3210,258,126,345,46
3209,258,126,345,48
3208,258,126,345,53
3207,258,126,345,48
3206,258,126,345,46
3205,258,126,345,51
3204,258,126,345,50
3203,258,126,345,50
3202,258,126,345,33
