,Frame,X,Y,Z
1,1,0.014672505,-0.0092862394,0.60531566
3,2,0.014672505,-0.0092862394,0.60531566
5,3,0.014672505,-0.0092862394,0.60531566
7,4,0.014672505,-0.0092862394,0.60531566
9,5,0.014663919,-0.0092810659,0.60496148
11,6,0.014663919,-0.0092810659,0.60496148
13,7,0.014663919,-0.0092810659,0.60496148
15,8,0.014663251,-0.009442984,0.60495968
17,9,0.014663251,-0.009442984,0.60495968
19,10,0.014663251,-0.009442984,0.60495968
21,11,0.014663251,-0.009442984,0.60495968
23,12,0.014663251,-0.009442984,0.60495968
25,13,0.014663251,-0.009442984,0.60495968
27,14,0.014663251,-0.009442984,0.60495968
29,15,0.014663251,-0.009442984,0.60495968
31,16,0.014663251,-0.009442984,0.60495968
33,17,0.014663761,-0.0095931168,0.60495687
35,18,0.014663761,-0.0095931168,0.60495687
37,19,0.014663761,-0.0095931168,0.60495687
39,20,0.014663761,-0.0095931168,0.60495687
41,21,0.014663761,-0.0095931168,0.60495687
43,22,0.014663761,-0.0095931168,0.60495687
45,23,0.014663761,-0.0095931168,0.60495687
47,24,0.01465518,-0.0095878152,0.60460288
49,25,0.01465518,-0.0095878152,0.60460288
51,26,0.01495648,-0.0095859815,0.60445009
53,27,0.01495648,-0.0095859815,0.60445009
55,28,0.01495648,-0.0095859815,0.60445009
57,29,0.01495648,-0.0095859815,0.60445009
59,30,0.014955865,-0.0097477704,0.60444831
61,31,0.014955865,-0.0097477704,0.60444831
63,32,0.014955865,-0.0097477704,0.60444831
65,33,0.014955865,-0.0097477704,0.60444831
67,34,0.014955865,-0.0097477704,0.60444831
69,35,0.014955865,-0.0097477704,0.60444831
71,36,0.014955865,-0.0097477704,0.60444831
73,37,0.014955865,-0.0097477704,0.60444831
75,38,0.014955865,-0.0097477704,0.60444831
77,39,0.014956325,-0.0098977749,0.60444549
79,40,0.014956325,-0.0098977749,0.60444549
81,41,0.014956325,-0.0098977749,0.60444549
83,42,0.014956325,-0.0098977749,0.60444549
85,43,0.014947576,-0.0098923494,0.60409197
87,44,0.014947576,-0.0098923494,0.60409197
89,45,0.014947576,-0.0098923494,0.60409197
91,46,0.014947576,-0.0098923494,0.60409197
93,47,0.014947576,-0.0098923494,0.60409197
95,48,0.014947576,-0.0098923494,0.60409197
97,49,0.014947576,-0.0098923494,0.60409197
99,50,0.014947576,-0.0098923494,0.60409197
101,51,0.014947576,-0.0098923494,0.60409197
103,52,0.014947576,-0.0098923494,0.60409197
105,53,0.014947014,-0.010054094,0.60409021
107,54,0.014947014,-0.010054094,0.60409021
109,55,0.014947014,-0.010054094,0.60409021
111,56,0.014947014,-0.010054094,0.60409021
113,57,0.014947014,-0.010054094,0.60409021
115,58,0.014947014,-0.010054094,0.60409021
117,59,0.014947014,-0.010054094,0.60409021
119,60,0.014947425,-0.010204008,0.60408737
121,61,0.014947425,-0.010204008,0.60408737
123,62,0.014938681,-0.010198455,0.60373404
125,63,0.014938681,-0.010198455,0.60373404
127,64,0.014938681,-0.010198455,0.60373404
129,65,0.014938681,-0.010198455,0.60373404
131,66,0.014938681,-0.010198455,0.60373404
133,67,0.014938681,-0.010198455,0.60373404
135,68,0.014938681,-0.010198455,0.60373404
137,69,0.014938681,-0.010198455,0.60373404
139,70,0.014938681,-0.010198455,0.60373404
141,71,0.014938681,-0.010198455,0.60373404
143,72,0.014938681,-0.010198455,0.60373404
145,73,0.014938681,-0.010198455,0.60373404
147,74,0.014938681,-0.010198455,0.60373404
149,75,0.014938681,-0.010198455,0.60373404
151,76,0.014938172,-0.010360156,0.60373231
153,77,0.014938172,-0.010360156,0.60373231
155,78,0.014938172,-0.010360156,0.60373231
