Frame,cL,yL,xL,AmpL,cR,yR,xR,AmpR,Time
911,185.0,199.0,296.0,383.0,186.0,198.0,99.0,527.0,0.00911
912,185.0,199.0,296.0,387.0,186.0,198.0,99.0,516.0,0.00912
913,185.0,199.0,296.0,393.0,186.0,198.0,99.0,509.0,0.00913
914,185.0,199.0,296.0,385.0,186.0,198.0,99.0,508.0,0.00914
915,185.0,199.0,296.0,374.0,186.0,198.0,99.0,513.0,0.00915
916,185.0,199.0,297.0,374.0,186.0,198.0,99.0,498.0,0.00916
917,185.0,199.0,297.0,375.0,186.0,198.0,99.0,502.0,0.00917
918,185.0,199.0,297.0,370.0,186.0,198.0,99.0,500.0,0.00918
919,186.0,198.0,297.0,366.0,186.0,198.0,99.0,507.0,0.00919
920,186.0,198.0,297.0,398.0,186.0,198.0,99.0,520.0,0.0092
921,186.0,198.0,297.0,399.0,186.0,198.0,99.0,503.0,0.00921
922,186.0,198.0,297.0,393.0,186.0,198.0,99.0,522.0,0.00922
923,186.0,198.0,297.0,390.0,186.0,198.0,99.0,522.0,0.00923
924,186.0,198.0,297.0,398.0,186.0,198.0,99.0,532.0,0.00924
925,186.0,198.0,297.0,401.0,186.0,198.0,99.0,533.0,0.00925
926,186.0,198.0,297.0,387.0,186.0,198.0,99.0,531.0,0.00926
927,186.0,198.0,297.0,391.0,186.0,198.0,99.0,536.0,0.00927
928,186.0,198.0,297.0,385.0,187.0,197.0,99.0,556.0,0.00928
929,186.0,198.0,297.0,405.0,187.0,197.0,99.0,526.0,0.00929
930,186.0,198.0,297.0,405.0,187.0,197.0,99.0,542.0,0.0093
931,186.0,198.0,297.0,408.0,187.0,197.0,99.0,527.0,0.00931
932,186.0,198.0,297.0,412.0,187.0,197.0,99.0,530.0,0.00932
933,186.0,198.0,297.0,395.0,187.0,197.0,99.0,529.0,0.00933
934,186.0,198.0,297.0,399.0,187.0,197.0,99.0,527.0,0.00934
935,186.0,198.0,298.0,401.0,187.0,197.0,99.0,526.0,0.00935
936,186.0,198.0,298.0,415.0,187.0,197.0,99.0,524.0,0.00936
937,186.0,198.0,298.0,388.0,187.0,197.0,98.0,522.0,0.00937
938,186.0,198.0,298.0,396.0,187.0,197.0,98.0,525.0,0.00938
939,186.0,198.0,298.0,412.0,187.0,197.0,98.0,545.0,0.00939
940,186.0,198.0,298.0,386.0,187.0,197.0,98.0,525.0,0.0094
941,187.0,197.0,298.0,418.0,187.0,197.0,98.0,540.0,0.00941
942,187.0,197.0,298.0,404.0,187.0,197.0,98.0,508.0,0.00942
943,187.0,197.0,298.0,396.0,187.0,197.0,98.0,532.0,0.00943
944,187.0,197.0,298.0,411.0,187.0,197.0,98.0,527.0,0.00944
945,187.0,197.0,298.0,411.0,187.0,197.0,98.0,552.0,0.00945
946,187.0,197.0,298.0,404.0,187.0,197.0,98.0,552.0,0.00946
947,187.0,197.0,298.0,393.0,187.0,197.0,98.0,549.0,0.00947
948,187.0,197.0,298.0,392.0,187.0,197.0,98.0,564.0,0.00948
949,187.0,197.0,298.0,384.0,187.0,197.0,98.0,560.0,0.00949
950,187.0,197.0,298.0,406.0,188.0,196.0,98.0,572.0,0.0095
951,187.0,197.0,298.0,407.0,188.0,196.0,98.0,531.0,0.00951
952,187.0,197.0,298.0,398.0,188.0,196.0,98.0,572.0,0.00952
953,187.0,197.0,298.0,399.0,188.0,196.0,98.0,550.0,0.00953
954,187.0,197.0,299.0,397.0,188.0,196.0,98.0,549.0,0.00954
955,187.0,197.0,299.0,399.0,188.0,196.0,98.0,524.0,0.00955
956,187.0,197.0,299.0,398.0,188.0,196.0,98.0,526.0,0.00956
957,187.0,197.0,299.0,393.0,188.0,196.0,98.0,517.0,0.00957
958,187.0,197.0,299.0,395.0,188.0,196.0,98.0,520.0,0.00958
959,187.0,197.0,299.0,405.0,188.0,196.0,98.0,524.0,0.00959
960,187.0,197.0,299.0,410.0,188.0,196.0,98.0,523.0,0.0096
961,187.0,197.0,299.0,417.0,188.0,196.0,98.0,515.0,0.00961
962,187.0,197.0,299.0,412.0,188.0,196.0,98.0,528.0,0.00962
963,187.0,197.0,299.0,415.0,188.0,196.0,98.0,518.0,0.00963
964,188.0,196.0,299.0,432.0,188.0,196.0,98.0,531.0,0.00964
965,188.0,196.0,299.0,417.0,188.0,196.0,98.0,548.0,0.00965
966,188.0,196.0,299.0,415.0,188.0,196.0,98.0,530.0,0.00966
967,188.0,196.0,299.0,419.0,188.0,196.0,98.0,547.0,0.00967
968,188.0,196.0,299.0,397.0,188.0,196.0,98.0,547.0,0.00968
969,188.0,196.0,299.0,412.0,188.0,196.0,98.0,543.0,0.00969
970,188.0,196.0,299.0,402.0,188.0,196.0,98.0,542.0,0.0097
971,188.0,196.0,299.0,417.0,189.0,195.0,98.0,548.0,0.00971
972,188.0,196.0,299.0,418.0,189.0,195.0,98.0,549.0,0.00972
973,188.0,196.0,300.0,404.0,189.0,195.0,98.0,543.0,0.00973
974,188.0,196.0,300.0,403.0,189.0,195.0,98.0,556.0,0.00974
975,188.0,196.0,300.0,395.0,189.0,195.0,98.0,541.0,0.00975
976,188.0,196.0,300.0,394.0,189.0,195.0,98.0,539.0,0.00976
977,188.0,196.0,300.0,397.0,189.0,195.0,98.0,533.0,0.00977
978,188.0,196.0,300.0,378.0,189.0,195.0,98.0,552.0,0.00978
979,188.0,196.0,300.0,373.0,189.0,195.0,98.0,538.0,0.00979
980,188.0,196.0,300.0,371.0,189.0,195.0,98.0,536.0,0.0098
981,188.0,196.0,300.0,369.0,189.0,195.0,98.0,539.0,0.00981
982,188.0,196.0,300.0,389.0,189.0,195.0,98.0,544.0,0.00982
983,188.0,196.0,300.0,391.0,189.0,195.0,98.0,545.0,0.00983
984,188.0,196.0,300.0,435.0,189.0,195.0,98.0,544.0,0.00984
985,188.0,196.0,300.0,430.0,189.0,195.0,98.0,528.0,0.00985
986,188.0,196.0,300.0,432.0,189.0,195.0,98.0,535.0,0.00986
987,189.0,195.0,300.0,425.0,189.0,195.0,98.0,529.0,0.00987
988,189.0,195.0,300.0,414.0,189.0,195.0,98.0,538.0,0.00988
989,189.0,195.0,300.0,410.0,189.0,195.0,98.0,529.0,0.00989
990,189.0,195.0,300.0,406.0,189.0,195.0,98.0,530.0,0.0099
991,189.0,195.0,300.0,391.0,189.0,195.0,98.0,550.0,0.00991
992,189.0,195.0,300.0,387.0,189.0,195.0,98.0,542.0,0.00992
993,189.0,195.0,301.0,386.0,190.0,194.0,98.0,551.0,0.00993
994,189.0,195.0,301.0,374.0,190.0,194.0,98.0,528.0,0.00994
995,189.0,195.0,301.0,367.0,190.0,194.0,98.0,527.0,0.00995
996,189.0,195.0,301.0,362.0,190.0,194.0,98.0,533.0,0.00996
997,189.0,195.0,301.0,352.0,190.0,194.0,98.0,531.0,0.00997
998,189.0,195.0,301.0,437.0,190.0,194.0,98.0,538.0,0.00998
999,189.0,195.0,301.0,412.0,190.0,194.0,98.0,532.0,0.00999
1000,189.0,195.0,301.0,405.0,190.0,194.0,98.0,535.0,0.01
1001,189.0,195.0,301.0,395.0,190.0,194.0,98.0,534.0,0.01001
1002,189.0,195.0,301.0,439.0,190.0,194.0,98.0,529.0,0.01002
1003,189.0,195.0,301.0,438.0,190.0,194.0,98.0,518.0,0.01003
1004,189.0,195.0,301.0,427.0,190.0,194.0,98.0,545.0,0.01004
1005,189.0,195.0,301.0,429.0,190.0,194.0,98.0,528.0,0.01005
1006,189.0,195.0,301.0,521.0,190.0,194.0,98.0,528.0,0.01006
1007,189.0,195.0,301.0,497.0,190.0,194.0,98.0,535.0,0.01007
1008,189.0,195.0,301.0,518.0,190.0,194.0,98.0,536.0,0.01008
1009,190.0,194.0,301.0,494.0,190.0,194.0,99.0,47.0,0.01009
1010,190.0,194.0,301.0,501.0,190.0,194.0,99.0,48.0,0.0101
1011,190.0,194.0,301.0,493.0,190.0,194.0,99.0,44.0,0.01011
1012,190.0,194.0,301.0,492.0,190.0,194.0,99.0,42.0,0.01012
1013,190.0,194.0,302.0,488.0,191.0,193.0,99.0,41.0,0.01013
1014,190.0,194.0,302.0,487.0,191.0,193.0,99.0,45.0,0.01014
1015,190.0,194.0,302.0,478.0,191.0,193.0,98.0,548.0,0.01015
1016,190.0,194.0,302.0,477.0,191.0,193.0,98.0,534.0,0.01016
1017,190.0,194.0,302.0,468.0,191.0,193.0,98.0,565.0,0.01017
1018,190.0,194.0,302.0,423.0,191.0,193.0,98.0,546.0,0.01018
1019,190.0,194.0,302.0,420.0,191.0,193.0,98.0,549.0,0.01019
1020,190.0,194.0,302.0,471.0,191.0,193.0,98.0,549.0,0.0102
1021,190.0,194.0,302.0,469.0,191.0,193.0,98.0,544.0,0.01021
1022,190.0,194.0,302.0,534.0,191.0,193.0,98.0,538.0,0.01022
1023,190.0,194.0,302.0,538.0,191.0,193.0,98.0,548.0,0.01023
1024,190.0,194.0,302.0,376.0,191.0,193.0,98.0,536.0,0.01024
1025,190.0,194.0,302.0,419.0,191.0,193.0,98.0,531.0,0.01025
1026,190.0,194.0,302.0,423.0,191.0,193.0,98.0,530.0,0.01026
1027,190.0,194.0,302.0,426.0,191.0,193.0,98.0,527.0,0.01027
1028,190.0,194.0,302.0,433.0,191.0,193.0,98.0,533.0,0.01028
1029,190.0,194.0,302.0,441.0,191.0,193.0,98.0,544.0,0.01029
1030,190.0,194.0,302.0,446.0,191.0,193.0,98.0,532.0,0.0103
1031,190.0,194.0,302.0,452.0,191.0,193.0,98.0,551.0,0.01031
1032,190.0,194.0,302.0,459.0,191.0,193.0,98.0,541.0,0.01032
1033,190.0,194.0,302.0,458.0,191.0,193.0,97.0,551.0,0.01033
1034,190.0,194.0,302.0,461.0,191.0,193.0,97.0,540.0,0.01034
1035,191.0,193.0,303.0,462.0,191.0,193.0,97.0,539.0,0.01035
1036,191.0,193.0,303.0,463.0,191.0,193.0,97.0,542.0,0.01036
1037,191.0,193.0,303.0,458.0,191.0,193.0,97.0,553.0,0.01037
1038,191.0,193.0,303.0,460.0,192.0,192.0,97.0,555.0,0.01038
1039,191.0,193.0,303.0,400.0,192.0,192.0,97.0,556.0,0.01039
1040,191.0,193.0,303.0,399.0,192.0,192.0,97.0,542.0,0.0104
1041,191.0,193.0,303.0,421.0,192.0,192.0,97.0,551.0,0.01041
1042,191.0,193.0,303.0,426.0,192.0,192.0,97.0,559.0,0.01042
1043,191.0,193.0,303.0,428.0,192.0,192.0,97.0,563.0,0.01043
1044,191.0,193.0,303.0,432.0,192.0,192.0,97.0,557.0,0.01044
