,Left,Right
0,2.0,7.0
1,3.0,4.0
2,4.0,7.0
3,6.0,5.0
4,7.0,8.0
5,8.0,305.0
6,9.0,5.0
7,13.0,152.0
8,15.0,5.0
9,17.0,5.0
10,19.0,173.0
11,22.0,4.0
12,23.0,48.0
13,25.0,5.0
14,28.0,279.0
15,29.0,8.0
16,32.0,3.0
17,34.0,5.0
18,38.0,3.0
19,39.0,3.0
20,45.0,3.0
21,47.0,173.0
22,49.0,18.0
23,50.0,4.0
24,51.0,59.0
25,54.0,48.0
26,55.0,305.0
27,56.0,59.0
28,58.0,5.0
29,60.0,94.0
30,62.0,7.0
31,66.0,8.0
32,73.0,173.0
33,76.0,305.0
34,80.0,152.0
35,81.0,113.0
36,82.0,48.0
37,84.0,8.0
38,85.0,172.0
39,86.0,172.0
40,87.0,252.0
41,90.0,199.0
42,94.0,252.0
43,95.0,166.0
44,96.0,199.0
45,100.0,8.0
46,104.0,173.0
47,105.0,5.0
48,106.0,226.0
49,108.0,18.0
50,110.0,18.0
51,112.0,93.0
52,117.0,94.0
53,118.0,93.0
54,123.0,226.0
55,126.0,84.0
56,132.0,84.0
57,133.0,172.0
58,134.0,152.0
59,137.0,152.0
60,141.0,172.0
61,142.0,18.0
62,143.0,8.0
63,144.0,113.0
64,150.0,8.0
65,153.0,279.0
66,154.0,18.0
67,164.0,252.0
68,168.0,18.0
69,169.0,18.0
70,172.0,226.0
71,174.0,226.0
72,182.0,18.0
73,194.0,226.0
74,198.0,94.0
75,209.0,18.0
76,211.0,93.0
77,212.0,279.0
78,216.0,18.0
79,217.0,226.0
80,225.0,93.0
81,229.0,18.0
82,230.0,18.0
83,246.0,336.0
84,248.0,336.0
85,257.0,336.0
86,261.0,305.0
87,263.0,226.0
88,265.0,18.0
89,271.0,18.0
90,275.0,93.0
91,281.0,18.0
92,284.0,18.0
93,292.0,93.0
94,300.0,336.0
95,309.0,305.0
96,316.0,305.0
97,321.0,305.0
98,322.0,252.0
99,325.0,305.0
100,334.0,305.0
101,339.0,27.0
102,340.0,305.0
103,366.0,166.0
104,368.0,427.0
105,387.0,178.0
106,390.0,305.0
107,392.0,407.0
108,393.0,305.0
109,394.0,305.0
110,397.0,305.0
111,398.0,305.0
112,400.0,305.0
113,409.0,305.0
114,410.0,305.0
115,412.0,427.0
116,414.0,410.0
117,415.0,166.0
118,423.0,305.0
119,429.0,27.0
120,447.0,410.0
121,452.0,410.0
122,457.0,27.0
123,463.0,410.0
