,PID_R,PID_L,Mass_R,X_R,Y_R,Mass_L,X_L,Y_L
0,0,1,83.8561062119,198.102990033,60.1096345515,124.834016658,255.875586854,67.0985915493
1,1,0,143.753324935,210.071705426,60.023255814,57.1423315686,246.184615385,66.758974359
2,2,2,163.811928414,192.178571429,63.981292517,137.72767096,239.931914894,69.9319148936
3,5,3,95.5569582415,196.099125364,66.0029154519,134.504257385,247.069716776,72.917211329
4,7,4,85.8062482168,188.964285714,68.7857142857,54.7980307863,237.064171123,74.1336898396
5,8,6,159.633052689,196.090750436,71.0785340314,192.525701746,244.98173516,76.9619482496
6,9,8,187.770815903,188.872403561,79.115727003,119.559339897,242.926470588,84.1323529412
7,11,9,88.0349819368,184.958860759,84.8037974684,202.195942473,242.930434783,88.9724637681
8,13,10,203.371951943,175.131506849,89.1369863014,76.4828130226,239.203065134,92.9770114943
9,14,12,72.1552541824,164.72972973,89.7760617761,96.1163320743,251.118902439,94.1432926829
10,15,13,211.172519962,168.95646438,91.0395778364,109.88909917,244.941333333,95.8666666667
11,16,15,200.864626508,181.067961165,92.987517337,50.988542015,269.235632184,97.8965517241
12,17,16,75.7769464772,163.143382353,94.9338235294,85.8600161518,240.153583618,98.8464163823
13,18,17,170.776721289,174.949429038,96.1239804241,151.500438056,259.027079304,100.164410058
14,19,20,73.5482127573,157.958333333,98.0757575758,61.2448579376,270.100478469,102.062200957
15,20,21,105.586259981,161.82585752,99.2189973615,101.391008835,239.98265896,102.895953757
16,22,23,218.973087982,190.96437659,100.038167939,144.467535709,283.949290061,105.146044625
17,23,24,145.424875225,183.959770115,100.936781609,119.559339897,277.955882353,105.943627451
18,24,27,152.946851529,157.927140255,103.836065574,117.508076713,238.897755611,106.952618454
19,26,28,180.806023028,178.918335901,104.183359014,172.599145097,246.091680815,108.064516129
20,27,31,75.4983547622,187.040590406,104.79704797,101.391008835,300.101156069,110.170520231
21,28,29,220.644638272,201.070707071,106.032828283,114.870738333,203.012755102,108.864795918
22,29,30,75.7769464772,196.279411765,106.985294118,92.0138057053,210.0,110.070063694
23,32,36,73.8268044723,185.143396226,109.2,98.7536704544,253.878338279,112.96735905
24,34,33,132.33106462,107.094736842,109.92,65.0543467089,244.171171171,111.954954955
25,35,40,147.93220066,140.131826742,110.11299435,136.262482971,302.890322581,113.95483871
26,38,37,74.3839879023,134.205992509,111.925093633,212.159220798,233.006906077,114.023480663
27,39,42,122.85894631,196.775510204,111.931972789,242.635130968,211.167874396,114.946859903
28,43,44,66.5834198826,174.184100418,113.205020921,71.794211458,291.951020408,117.146938776
29,45,48,94.7211830965,205.247058824,113.9,73.2593994469,304.824,118.86
30,49,47,247.668034626,196.114735658,115.894263217,76.1897754248,224.980769231,119.073076923
31,51,50,120.351620876,121.923611111,117.858796296,111.061249562,298.957783641,120.823218997
32,53,54,163.254744984,204.032423208,118.11774744,159.705490794,305.928440367,122.919266055
33,55,53,86.6420233618,170.861736334,119.916398714,96.9954448677,249.090634441,122.827794562
34,59,57,123.97331317,198.0,120.817977528,95.8232944766,299.076452599,124.932721713
35,62,63,84.6918813569,221.118421053,122.878289474,68.8638354801,325.012765957,127.8
36,63,55,156.847135539,114.024866785,123.920071048,74.7245874358,211.831372549,124.882352941
37,66,65,113.386828001,171.090909091,125.132678133,164.980167554,318.847246892,129.001776199
38,68,60,140.410224355,82.9702380952,126.111111111,160.584603588,251.948905109,127.144160584
39,70,62,76.3341299072,140.01459854,126.087591241,52.453730004,239.089385475,127.882681564
40,71,69,179.134472738,227.883359253,125.98600311,139.192858949,332.951578947,130.978947368
41,74,64,183.313348463,88.0197568389,128.965045593,148.863099676,196.992125984,129.061023622
42,76,66,108.093585416,75.9020618557,129.927835052,164.980167554,202.991119005,129.964476021
43,77,70,81.627372492,124.911262799,130.174061433,72.9663618491,257.18875502,132.164658635
44,81,78,73.5482127573,242.901515152,132.882575758,73.2593994469,362.06,137.848
45,82,72,175.512780444,122.033333333,133.873015873,111.940362355,229.910994764,134.92408377
46,83,77,238.753099746,211.161026838,133.880980163,89.3764673252,332.101639344,137.88852459
47,84,75,157.682910684,216.028268551,134.181978799,244.97943175,311.039473684,137.958133971
48,85,80,109.207952276,226.017857143,135.040816327,87.0321665429,326.898989899,138.942760943
49,86,79,102.243159401,248.021798365,135.95640327,91.134692912,245.951768489,138.935691318
50,87,83,140.13163264,243.916500994,136.878727634,77.0688882181,364.19391635,142.068441065
51,88,84,173.005455009,230.961352657,138.951690821,124.834016658,340.924882629,143.091549296
52,89,82,179.970247883,124.125386997,139.907120743,186.078874595,266.070866142,141.066141732
53,91,85,127.037822035,237.945175439,139.995614035,79.999264196,327.04029304,143.893772894
54,93,93,165.483478704,232.065656566,144.087542088,55.3841059819,367.084656085,147.904761905
55,94,89,113.944011431,118.039119804,145.075794621,87.3252041407,253.986577181,146.167785235
56,97,94,167.712212424,239.96013289,148.026578073,58.9005571553,336.074626866,150.935323383
57,98,99,125.366271745,117.082222222,151.955555556,99.6327832478,254.985294118,152.955882353
58,101,102,78.0056801971,226.796428571,154.032142857,85.566978554,363.191780822,157.047945205
59,102,101,173.841230154,221.886217949,155.044871795,193.697852138,334.838124054,157.062027231
60,103,104,208.943786242,237.028,155.070666667,174.650408281,358.013422819,158.038590604
61,104,103,75.4983547622,241.114391144,155.730627306,129.81565582,249.029345372,158.011286682
62,107,105,79.3986387721,224.901754386,159.063157895,51.2815796128,333.034285714,161.131428571
63,108,106,225.659289142,244.032098765,160.022222222,48.6442412327,353.771084337,162.048192771
64,109,110,80.513005632,235.823529412,162.121107266,101.684046432,303.974063401,163.933717579
65,110,112,135.395573485,252.99382716,163.845679012,99.33974565,379.96460177,165.923303835
66,112,117,106.143443411,246.992125984,172.107611549,58.6075195575,367.865,173.165
67,113,118,110.043727421,235.015189873,173.113924051,81.464452185,347.161870504,174.039568345
68,115,120,106.422035126,229.007853403,176.141361257,90.8416553142,337.14516129,176.941935484
69,117,122,106.979218556,237.841145833,179.161458333,81.464452185,349.85971223,179.90647482
70,118,123,67.1406033125,227.045643154,180.738589212,82.6366025761,366.975177305,180.996453901
71,120,125,177.462922448,232.866562009,183.98744113,205.712393647,333.004273504,184.037037037
72,121,126,149.04656752,227.943925234,185.130841121,86.1530537496,319.918367347,184.989795918
