,PID_R,PID_L,Mass_R,X_R,Y_R,Mass_L,X_L,Y_L
0,1,1,143.7533249,210.0717054,60.02325581,124.8340167,255.8755869,67.09859155
1,3,2,104.4718931,201.0506667,63.97866667,137.727671,239.9319149,69.93191489
2,5,3,95.55695824,196.0991254,66.00291545,134.5042574,247.0697168,72.91721133
3,7,4,85.80624822,188.9642857,68.78571429,54.79803079,237.0641711,74.13368984
4,8,6,159.6330527,196.0907504,71.07853403,192.5257017,244.9817352,76.96194825
5,9,8,187.7708159,188.8724036,79.115727,120.4384527,242.919708,84.13138686
6,11,9,88.03498194,184.9588608,84.80379747,202.1959425,242.9304348,88.97246377
7,13,10,203.3719519,175.1315068,89.1369863,76.48281302,239.2030651,92.97701149
8,14,12,72.15525418,164.7297297,89.77606178,96.11633207,251.1189024,94.14329268
9,15,13,212.0082951,168.9526938,91.03942181,109.8890992,244.9413333,95.86666667
10,16,15,200.8646265,181.0679612,92.98751734,50.98854202,269.2356322,97.89655172
11,17,16,75.77694648,163.1433824,94.93382353,85.86001615,240.1535836,98.84641638
12,18,17,170.7767213,174.949429,96.12398042,152.6725884,259.0268714,100.1554703
13,19,20,73.54821276,157.9583333,98.07575758,62.12397073,270.0990566,102.0613208
14,21,21,59.89721872,165.9627907,99.88372093,102.5631592,239.9942857,102.8971429
15,22,23,221.2018217,190.9596977,100.0377834,145.6396861,283.9496982,105.1529175
16,23,25,146.5392421,183.960076,100.9296578,78.24103861,294.0973783,105.8651685
17,24,27,152.9468515,157.9271403,103.8360656,117.5080767,238.8977556,106.9526185
18,25,26,60.73299387,163.0412844,104.266055,94.06506889,234.0249221,107.0404984
19,26,28,180.806023,178.9183359,104.183359,172.5991451,246.0916808,108.0645161
20,27,31,76.61272162,187.04,104.8,101.3910088,300.1011561,110.1705202
21,29,34,76.89131334,196.2753623,106.9855072,195.7491153,290.8877246,111.9595808
22,30,29,84.41328964,97.05610561,108.8580858,114.8707383,203.0127551,108.8647959
23,31,32,100.2930174,176.0472222,108.8277778,64.46827151,182.9181818,111.0727273
24,32,36,74.66257962,185.141791,109.1977612,99.92582085,253.8797654,112.9794721
25,38,38,74.3839879,134.2059925,111.9250936,189.5953258,239.9474498,114.049459
26,39,41,123.9733132,196.7865169,111.9325843,112.5264376,206.859375,115.2213542
27,42,42,239.5888749,146.0348837,112.9034884,242.635131,211.1678744,114.9468599
28,43,44,68.53356189,174.1626016,113.199187,71.79421146,291.9510204,117.1469388
29,45,48,96.6713251,205.2420749,113.9106628,73.25939945,304.824,118.86
30,51,46,123.4161297,121.9345372,117.8713318,188.716213,211.8431677,119.0093168
31,52,50,272.741289,132.9897855,117.9877426,111.0612496,298.9577836,120.823219
32,55,51,86.64202336,170.8617363,119.9163987,129.5226182,197.0045249,122.0248869
33,57,49,114.2226031,94.79268293,120.8414634,149.4491749,203.9313725,121.0568627
34,58,54,140.9674078,111.0494071,120.812253,159.7054908,305.9284404,122.9192661
35,59,57,123.9733132,198,120.8179775,95.82329448,299.0764526,124.9327217
36,60,55,89.98512394,226.8452012,121.1702786,75.89673783,211.8339768,124.8996139
37,62,63,84.69188136,221.1184211,122.8782895,70.62206107,325,127.8049793
38,63,56,157.9615024,114.0246914,123.9206349,165.2732052,234.1276596,125.0106383
39,65,61,174.3984136,78.84504792,125.1277955,65.05434671,332.8468468,126.8558559
40,68,58,140.4102244,82.9702381,126.1111111,172.8921827,201.8355932,126.0152542
41,69,60,123.9733132,104.9505618,125.9505618,160.5846036,251.9489051,127.1441606
42,70,62,79.67723049,140.013986,126.0944056,52.45373,239.0893855,127.8826816
43,71,69,179.1344727,227.8833593,125.9860031,139.1928589,332.9515789,130.9789474
44,72,67,67.14060331,110.2987552,128.0290456,129.8156558,303.1783296,129.9435666
45,73,71,128.4307806,221.154013,127.9262473,119.8523775,322.99022,131.992665
46,74,64,184.4277153,88.01359517,128.9652568,148.8630997,196.992126,129.0610236
47,76,66,108.0935854,75.90206186,129.9278351,166.7383931,202.9964851,129.9648506
48,79,70,91.37808252,115.9390244,131.1036585,72.96636185,257.188755,132.1646586
49,81,78,73.54821276,242.9015152,132.8825758,73.25939945,362.06,137.848
50,82,72,175.5127804,122.0333333,133.8730159,111.9403624,229.9109948,134.9240838
51,83,74,238.7530997,211.1610268,133.8809802,109.5960616,251.9358289,137.1016043
52,84,75,158.7972775,216.0210526,134.1807018,244.9794318,311.0394737,137.958134
53,85,80,109.2079523,226.0178571,135.0408163,87.03216654,326.8989899,138.9427609
54,88,84,173.005455,230.9613527,138.9516908,124.8340167,340.9248826,143.0915493
55,89,83,179.9702479,124.125387,139.9071207,77.94800101,364.1917293,142.0789474
56,91,86,127.037822,237.9451754,139.995614,136.5555206,349.9463519,143.8819742
57,92,90,115.33697,242.0990338,142.0700483,104.90746,346.1145251,146.0586592
58,93,93,165.4834787,232.0656566,144.0875421,55.38410598,367.0846561,147.9047619
59,94,88,113.9440114,118.0391198,145.0757946,108.1308736,234.0596206,146.0081301
60,95,92,169.3837627,225.9259868,144.9325658,132.4529942,340.9402655,147.9646018
61,96,91,83.5775145,104.1266667,145.8833333,80.29230179,335.0656934,146.9124088
62,97,95,167.7122124,239.9601329,148.0265781,59.48663235,349.8226601,151.0147783
63,98,99,125.3662717,117.0822222,151.9555556,99.63278325,254.9852941,152.9558824
64,101,100,79.12004706,226.7992958,154.0316901,99.33974565,240.9262537,156.1533923
65,102,101,175.7913722,221.881141,155.0396197,193.6978521,334.8381241,157.0620272
66,104,103,75.49835476,241.1143911,155.7306273,129.8156558,249.0293454,158.0112867
67,107,105,80.51300563,224.8892734,159.0622837,51.28157961,333.0342857,161.1314286
68,108,107,225.6592891,244.0320988,160.0222222,140.9510845,363.8711019,162.0602911
69,109,110,80.51300563,235.8235294,162.1211073,101.6840464,303.9740634,163.9337176
70,110,112,136.2313486,253,163.8466258,99.33974565,379.9646018,165.9233038
71,112,116,106.9792186,246.9921875,172.0989583,65.9334595,354.8977778,173.1288889
72,113,118,110.0437274,235.0151899,173.1139241,81.46445219,347.1618705,174.0395683
73,115,119,106.4220351,229.0078534,176.1413613,81.75748978,316.0645161,176.9928315
74,117,121,106.9792186,237.8411458,179.1614583,84.68786576,342.9757785,179.9273356
75,119,123,116.7299286,249.0692124,180.9594272,82.63660258,366.9751773,180.9964539
76,120,125,177.4629224,232.866562,183.9874411,206.5915064,333,184.0368794
77,121,126,149.0465675,227.9439252,185.1308411,86.15305375,319.9183673,184.9897959
0,0,1,88.73298908,198.9389535,58.10465116,129.6280447,255.0635965,65.11842105
1,1,0,135.4209862,211.0361905,58.02095238,74.19499925,245.8965517,64.89272031
2,2,2,161.989294,192.8678344,61.94904459,138.7247496,239.0081967,67.93852459
3,5,3,91.31243644,185.0367232,64.88983051,142.1360139,246.846,70.934
4,6,5,116.3330758,205.0421286,66.03547672,119.6785237,255.023753,72.89786223
5,8,6,152.4453388,197.0118443,69.10321489,177.6700174,244.112,75.1232
6,10,7,73.25630494,192.9330986,70.80633803,56.85440556,249.315,77
7,11,8,181.3351492,188.9758179,77.96728307,139.5775656,242.0346232,82.99796334
8,13,9,92.34421538,185.9581006,83.10055866,177.6700174,241.9456,87.9088
9,15,10,79.96286807,163.883871,88.14193548,81.870344,238.1215278,91.91666667
10,17,13,200.9389491,168.0988447,90.02824134,125.3639643,244,94.09977324
11,18,15,210.4829043,181.004902,91.99387255,54.58022933,269.0572917,96.90625
12,19,16,75.31986283,162.9383562,93.99315068,90.96704889,239.153125,97.9125
13,20,20,165.8584651,174.0171073,95.0311042,65.38256639,277.8347826,100.0347826
14,21,23,66.03385234,156.9609375,97.1171875,156.0653433,288.0455373,101.8907104
15,22,22,108.5947337,160.9548694,98.81947743,107.7390985,238.9788918,101.9709763
16,24,25,142.1275494,183.0834846,99.10707804,146.1158223,283.8968872,104.1011673
17,25,24,187.2678781,190.9738292,99.01928375,135.0292132,277.0589474,104.1747368
18,26,28,151.4135599,157.0238501,102.955707,114.8458992,237.2178218,106.1163366
19,29,33,77.38342071,186.9533333,103.78,117.4043475,300.1355932,109.1210654
20,31,29,200.6810044,201.0514139,105.0077121,128.2066845,202.0576497,108.1064302
21,32,36,81.25259175,196.2,105.9206349,177.6700174,290.8448,110.9424
22,33,32,88.47504435,155.0845481,106.7376093,66.5196545,214.1111111,109.0299145
23,36,40,124.8452521,190.1322314,108.0785124,129.3437726,302.9164835,112.9868132
24,37,34,171.2753045,107.0512048,108.9593373,85.85015239,198.102649,110.0629139
25,38,38,84.60587331,185.902439,108.9847561,81.870344,253.8506944,112.9131944
26,43,42,49.52538926,180.3125,110.953125,170.8474887,226.1064892,113.9334443
27,44,37,82.02642595,94.85534591,112.0125786,293.0844606,218.8661494,112.9747818
28,47,41,122.00786,158.8942918,111.7610994,248.7380243,210.8491429,114.056
29,49,47,229.5708148,126.9146067,112.9662921,66.80392653,291.906383,116.1914894
30,51,50,90.2806575,205.2457143,112.8571429,80.16471183,304.9007092,117.8439716
31,52,45,209.7090701,116.097171,114.0209102,135.3134852,205.8529412,115.0756303
32,54,48,248.6587252,196.0580913,114.9180498,71.636551,225.0952381,118.1944444
33,55,49,114.7854074,108.0067416,116.1820225,90.96704889,253.1375,117.9625
34,56,52,93.8918838,121.0879121,117.0384615,111.7189069,298.9694656,119.8753181
35,57,55,150.3817809,204.0308748,117.1492281,168.2890404,305.9712838,121.9543919
36,58,51,202.7445623,132.8282443,117.9605598,209.5084845,210.8683853,118.990502
37,60,53,109.6265127,93.17882353,120.0964706,168.5733125,203.0118044,120.9797639
38,61,57,80.99464701,170.8503185,119.8598726,67.37247058,249.0042194,122.7468354
39,64,56,98.79283377,227.0287206,120.1201044,73.05791114,207.1245136,123.0505837
40,66,59,65.7759076,121.0117647,121.1568627,98.92666567,299.1235632,124.0488506
41,68,60,80.2208128,221.8681672,121.8681672,70.21519086,210.8866397,124.9311741
42,72,66,174.1126966,77.0962963,125.0918519,57.70722164,312.0492611,127.2216749
43,73,64,100.8563917,171.084399,125.0920716,54.58022933,205.6979167,126.984375
44,74,73,177.7239229,228.0217707,124.9767779,134.1763971,333.8898305,130.0572034
45,75,65,135.1630415,81.8759542,126.1183206,132.4707649,251.8197425,127.1094421
46,77,70,74.03013915,141.0905923,125.9790941,124.7954202,303.166287,128.9863326
47,82,71,103.435839,74.10473815,129.9226933,162.0350558,202.0280702,129.9754386
48,84,74,88.73298908,116.0668605,131.0348837,115.1301713,236.0419753,132.0617284
49,86,77,61.3908471,243.2268908,131.7605042,104.6121062,229.9646739,134.8586957
50,88,80,231.8923174,211.1779755,132.9699666,103.1907461,333.030303,136.9834711
51,90,82,93.63393906,226.137741,134.9586777,115.1301713,253.0222222,137.9925926
52,92,83,127.9405889,244.8366935,135.8870968,82.43888806,246.8241379,138.9310345
53,96,87,79.96286807,143.9967742,139.9580645,156.3496153,267.8509091,141.86
54,97,91,115.5592416,237.9129464,139.9910714,96.36821742,362.159292,144.9852507
55,98,94,104.7255627,242.862069,141.8990148,82.15461603,335.9930796,146.0484429
56,100,92,140.579881,232.1266055,143.8513761,92.104137,234.8487654,146.0802469
57,102,95,85.37970752,118.8821752,145.8277946,95.79967336,254.9228487,146.9614243
58,103,99,144.7069967,240.1051693,147.8573975,46.62061256,350.3109756,150.8902439
59,104,102,98.2769443,117.8635171,152.1627297,118.8257076,245.007177,152.9832536
60,106,103,143.1593283,106.0162162,153.1099099,92.38840903,255.9661538,153.8338462
61,107,106,75.8357523,226.9591837,153.8843537,95.23112931,364.9761194,156.9044776
62,109,105,196.8118333,237.9777195,154.9947575,110.5818188,240.9742931,156.9717224
63,111,108,85.89559699,107.1741742,158.954955,131.9022209,250.0452586,158.8987069
64,112,110,79.96286807,225,158.9935484,44.34643633,354.8205128,161.2435897
65,113,111,188.0417123,244.9876543,159.1646091,136.7348454,365,161.9293139
66,114,113,76.09369703,235.979661,161.2169492,91.25132092,303.1401869,163.0093458
67,115,116,135.678931,253.9942966,163.0760456,79.59616778,381.9714286,165.1321429
68,116,117,111.4321258,250.0162037,166.9143519,73.6264552,369.011583,167.976834
69,118,120,96.72927589,247.9786667,172.0746667,81.01752792,355.922807,173.0526316
70,119,122,96.72927589,235.7733333,173.032,83.00743211,348.1232877,173.9760274
71,120,124,99.82461272,229.0620155,176.0439276,110.5818188,338.0077121,176.9280206
72,121,126,110.9162364,238.0232558,179.144186,76.46917547,350.8513011,179.8996283
73,124,127,109.1106232,249.9976359,180.9834515,81.30179995,368.1363636,181.013986
74,125,129,166.6322993,232.9535604,183.9876161,168.8575845,333.1313131,184.026936
