,PIDL,PIDR,LenL,LenR,Xmin L,Xmax L,Ymin L,Ymax L,Xmin R,Xmax R,Ymin R,Ymax R,Frame Count,Mass Diff,FF Ave,FF Small Count
0,13,0,852,1344,9.0,35.0,120.0,121.85,64.9223880597,109.015122873,9.9223880597,54.0396975425,845,28.3597237339,212.636053768,0
1,13,1,852,3176,9.0,35.0,120.0,121.85,152.0,173.828865979,50.8384615385,81.9292682927,852,31.6524372086,138.726502535,0
2,13,2,852,4689,9.0,35.0,120.0,121.85,168.0,215.102857143,49.9962264151,157.104477612,850,17.1901394966,140.13442097,0
3,13,3,852,3091,9.0,35.0,120.0,121.85,98.8214676889,128.077894737,55.9465811966,76.1221052632,852,241.685227769,134.821052659,0
4,13,6,852,4702,9.0,35.0,120.0,121.85,214.0,271.915129151,92.9920948617,166.079389313,852,96.546501234,45.2546229584,0
5,13,15,852,4707,9.0,35.0,120.0,121.85,111.019767442,248.037878788,130.083333333,228.915151515,852,198.47284476,205.399771984,0
6,13,73,852,3941,9.0,35.0,120.0,121.85,192.017456359,235.190839695,0.717557251908,81.0573566085,800,82.5632273263,233.37734153,0
7,13,202,852,1904,9.0,35.0,120.0,121.85,167.0,196.898799314,81.0,119.037735849,559,9.18608737787,74.2541698933,0
8,13,222,852,2183,9.0,35.0,120.0,121.85,90.0,108.994614004,71.0,81.9838420108,533,8.62560823789,106.296306992,0
9,13,241,852,2597,9.0,35.0,120.0,121.85,28.8591549296,77.056022409,68.0795724466,78.1151079137,500,10.4323685858,102.349377867,0
10,13,259,852,3319,9.0,35.0,120.0,121.85,54.0,97.0564705882,25.0,95.2062146893,437,9.83839010842,199.562627039,0
11,13,288,852,3252,9.0,35.0,120.0,121.85,52.1194029851,107.058823529,101.925396825,113.0,266,11.8422574383,25.7519627054,0
12,13,292,852,3170,9.0,35.0,120.0,121.85,187.0,203.843881857,0.733333333333,76.1788235294,294,17.8310072944,242.280970925,0
13,13,318,852,2574,9.0,35.0,120.0,121.85,145.085178876,165.0,78.0866372981,108.0,20,3.01541022447,27.7495436397,0
